# Title : in-situ files catalog
# Description : catalog of available in-situ files
# Project : Copernicus Marine In Situ TAC
# Format version : 1.4
# Date of update : 2021-01-18T16:06:43Z
# product_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,institution,date_update,data_mode,parameters
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_PR_BO_18029200.nc,68.55500,70.20000,-134.07620,-128.64950,1992-04-26T22:01:00Z,1992-05-11T22:31:00Z,Unknown institution,2020-03-04T08:58:09Z,R,PSAL DOX2 DC_REFERENCE PHOS SLCA DEPH DATA_MODE NTRZ
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_PR_BO_18919100.nc,69.73070,70.26900,-135.00000,-130.49420,1991-04-26T19:56:00Z,1991-05-07T22:46:00Z,Unknown institution,2020-03-04T08:58:08Z,R,PSAL CPHL DOX2 DC_REFERENCE PHOS SLCA PHTP DEPH DATA_MODE NTRZ
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_PR_BO_18HS9007.nc,69.13330,73.32090,-143.50320,-125.81010,1990-09-01T01:05:00Z,1990-09-17T23:10:00Z,Unknown institution,2020-07-20T09:09:37Z,R,PSAL CPHL DOX2 TEMP DC_REFERENCE PHOS SLCA DEPH DATA_MODE NTRZ
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_PR_BO_ArgosUWS.nc,57.19190,61.08000,8.08000,19.58000,1991-01-14T05:25:00Z,1991-05-28T08:55:00Z,Swedish Meteorological and Hydrological Institute (SMHI),2020-01-26T10:01:11Z,R,PSAL DC_REFERENCE DEPH DATA_MODE TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_PR_BO_DESI.nc,53.67000,60.92000,-5.67000,8.38000,1990-01-06T22:24:00Z,1990-11-11T15:00:00Z,Germany (Unknown),2020-01-26T10:00:37Z,R,PSAL DC_REFERENCE PRES DEPH DATA_MODE TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_PR_BO_OHLV_1991.nc,61.08000,61.08000,19.58500,19.58500,1991-04-11T15:51:00Z,1991-04-11T15:51:00Z,Unknown institution,2020-01-26T10:00:53Z,R,PSAL DC_REFERENCE DEPH DATA_MODE TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_PR_BO_SHIPGTSP.nc,-72.22110,66.40000,-140.00000,172.38310,1990-01-22T00:00:00Z,1993-08-29T18:07:00Z,Unknown institution,2020-01-19T10:00:21Z,R,PSAL DC_REFERENCE PRES DEPH DATA_MODE TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_FFZJ.nc,66.71983,70.98450,-70.09766,-53.66667,2012-08-07T23:17:20Z,2012-08-18T19:20:14Z,French Institution (Unknown),2019-05-05T17:54:23Z,R,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_FLES.nc,-69.37000,64.16300,-179.14000,178.97000,2011-07-22T02:24:00Z,2016-02-28T18:18:00Z,French Institution (Unknown),2019-05-05T17:55:36Z,R,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_FMCY_2012.nc,-6.70000,64.03333,-51.25000,22.91667,2012-01-01T06:38:00Z,2012-12-11T06:52:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-03-06T05:14:24Z,D,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_FMCY_2014.nc,14.96667,75.60000,-60.61666,19.43333,2014-01-01T11:14:00Z,2014-09-03T05:18:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-03-06T05:14:27Z,D,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_FNCM_2005.nc,48.14280,79.09920,-4.49694,12.33470,2005-09-18T15:13:00Z,2005-10-08T14:20:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-08-08T00:39:08Z,D,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_FNCM_2016.nc,5.00000,78.08334,-77.81667,20.23333,2016-01-04T12:29:00Z,2016-12-31T12:10:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-08-08T00:39:08Z,D,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_FNCM_2017.nc,12.90000,63.00167,-75.91666,9.63333,2017-01-01T12:00:00Z,2017-11-13T09:40:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-08-08T00:39:07Z,D,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_FNFP_2008.nc,40.33333,60.10000,-55.32810,7.47417,2008-01-26T10:29:00Z,2008-11-30T06:11:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-08-08T00:40:38Z,D,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_FNFP_2012.nc,25.28333,64.18333,-38.35000,7.46667,2012-01-15T11:15:00Z,2012-12-01T06:30:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-08-08T00:40:41Z,D,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_FNFP_2015.nc,-9.96667,63.32950,-37.35000,8.01667,2015-01-12T16:15:00Z,2015-11-29T08:04:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-08-08T00:40:41Z,D,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_FNHO.nc,5.16667,71.38333,-60.86666,23.70000,2005-01-26T19:05:00Z,2016-12-22T11:12:00Z,IRD  Institut de recherche pour le developpement - Brest,2019-05-12T00:46:14Z,R,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_OXYH2_2004.nc,57.70000,64.90000,-53.07000,9.98000,2004-07-21T20:42:00Z,2004-11-28T15:28:00Z,IRD  Institut de recherche pour le developpement - Brest,2019-05-12T00:46:09Z,R,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_OXYH2_2005.nc,57.57000,64.48000,-52.73000,6.28000,2005-03-22T17:10:00Z,2005-11-22T19:48:00Z,IRD  Institut de recherche pour le developpement - Brest,2019-05-12T00:46:09Z,R,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_OXYH2_2006.nc,58.33000,67.35000,-54.25000,4.45000,2006-06-15T18:05:00Z,2006-12-27T15:16:00Z,IRD  Institut de recherche pour le developpement - Brest,2020-03-06T05:16:29Z,D,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_OXYH2_2007.nc,57.67000,70.85000,-54.23000,10.78000,2007-01-04T15:25:00Z,2007-12-31T15:15:00Z,IRD  Institut de recherche pour le developpement - Brest,2019-05-12T00:46:09Z,R,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_OXYH2_2008.nc,56.73000,66.48000,-54.23000,10.70000,2008-01-01T16:04:00Z,2008-12-31T18:04:00Z,IRD  Institut de recherche pour le developpement - Brest,2020-03-15T21:46:42Z,D,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_OXYH2_2009.nc,54.85000,68.50000,-54.18000,9.00000,2009-01-01T19:00:00Z,2009-12-29T15:48:00Z,IRD  Institut de recherche pour le developpement - Brest,2019-05-12T00:46:09Z,R,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_OXYH2_2010.nc,52.83000,67.73000,-54.17000,9.98000,2010-01-09T15:40:00Z,2010-12-31T15:08:00Z,IRD  Institut de recherche pour le developpement - Brest,2019-05-12T00:46:09Z,R,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_OXYH2_2011.nc,57.23000,68.58000,-56.73000,10.75000,2011-01-01T15:40:00Z,2011-12-05T19:32:00Z,IRD  Institut de recherche pour le developpement - Brest,2020-03-22T18:13:03Z,D,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_OXYH2_2012.nc,57.57000,68.00000,-54.19000,8.77000,2012-01-19T19:35:00Z,2012-11-21T19:35:00Z,IRD  Institut de recherche pour le developpement - Brest,2019-05-12T00:46:13Z,R,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_OXYH2_2013.nc,57.03000,73.75000,-62.58000,10.80000,2013-01-24T15:30:00Z,2013-12-31T16:16:00Z,IRD  Institut de recherche pour le developpement - Brest,2019-05-12T00:46:13Z,R,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_OXYH2_2014.nc,57.25000,71.70000,-59.92000,8.70000,2014-01-01T21:01:00Z,2014-12-23T19:30:00Z,IRD  Institut de recherche pour le developpement - Brest,2019-05-12T00:47:16Z,R,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_OXYH2_2015.nc,57.68000,66.28000,-60.48000,5.08000,2015-06-04T09:33:00Z,2015-12-18T18:05:00Z,IRD  Institut de recherche pour le developpement - Brest,2019-05-12T00:47:16Z,R,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_OXYH2_2016.nc,57.02000,66.68000,-54.13000,10.81000,2016-01-07T21:50:00Z,2016-12-26T07:30:00Z,IRD  Institut de recherche pour le developpement - Brest,2019-05-12T00:47:16Z,R,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/BO/GL_TS_BO_OXYH2_2017.nc,57.55000,66.10000,-53.88000,10.27000,2017-01-09T00:15:00Z,2017-08-22T06:50:00Z,IRD  Institut de recherche pour le developpement - Brest,2019-05-12T00:47:16Z,R,PSAL DC_REFERENCE POSITIONING_SYSTEM DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/CT/AR_PR_CT_58AA.nc,53.996,81.306,-33.942,35.047,1992-02-05T06:50:00Z,2016-10-31T12:43:21Z,Institute of Marine Research (Norway),2020-10-15T06:02:04Z,M,PSAL PRES CNDC DEPH SIGMA_T TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/CT/AR_PR_CT_58AT.nc,69.283,69.950,17.617,20.067,1988-11-14T10:04:00Z,1990-09-05T17:00:00Z,University of Tromsø (Norway),2020-06-26T10:12:56Z,R,PSAL DEPH TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/CT/AR_PR_CT_58GD.nc,55.316,61.619,-1.467,12.370,2004-01-08T10:25:47Z,2020-12-08T12:43:11Z,Institute of Marine Research (Norway),2021-01-15T07:12:27Z,M,PSAL PRES CNDC SIGMA_T TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/CT/AR_PR_CT_58GS.nc,-67.094,80.654,-57.361,46.693,2003-07-26T23:40:20Z,2020-11-28T11:17:43Z,Institute of Marine Research (Norway),2021-01-15T07:03:39Z,M,PSAL PRES CNDC SIGMA_T TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/CT/AR_PR_CT_58GT.nc,48.747,80.002,-33.493,63.008,1994-06-01T07:08:00Z,2003-10-05T02:31:28Z,Institute of Marine Research (Norway),2020-06-02T14:47:46Z,M,PSAL TEMP PRES CNDC DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/CT/AR_PR_CT_58HJ.nc,62.100,82.110,-14.843,50.887,1995-02-02T08:10:00Z,2020-02-26T01:56:07Z,University of Tromsø (Norway),2021-01-18T15:01:50Z,M,PSAL PRES CNDC TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/CT/AR_PR_CT_58JH.nc,0.000,81.011,-35.230,64.507,1991-01-07T10:31:00Z,2020-12-09T03:49:00Z,Institute of Marine Research (Norway),2021-01-15T07:13:23Z,M,PSAL PRES CNDC SIGMA_T TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/CT/AR_PR_CT_58JM.nc,59.967,82.434,0.217,34.517,1993-01-25T07:03:00Z,2011-03-13T01:19:00Z,University of Tromsø (Norway),2020-06-26T10:13:57Z,R,PSAL DEPH TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/history/CT/AR_PR_CT_58JR.nc,63.550,81.183,6.536,34.800,1979-07-23T11:03:00Z,2013-10-31T00:54:00Z,University of Tromsø (Norway),2020-06-26T10:14:49Z,R,PSAL DEPH TEMP
