# Title : in-situ files catalog
# Description : catalog of available in-situ files
# Project : Copernicus Marine In Situ TAC
# Format version : 1.4
# Date of update : 2021-02-12T08:28:45Z
# product_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,institution,date_update,data_mode,parameters
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/AR_PR_CT_58JH_20210113.nc,57.001,57.001,4.696,4.696,2021-01-13T02:13:09Z,2021-01-13T02:13:09Z,Institute of Marine Research (Norway),2021-01-13T23:15:07Z,R,SIGMA_T PRES CNDC PSAL TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/AR_PR_CT_58UO_20210113.nc,59.240,59.240,4.099,4.099,2021-01-13T21:54:36Z,2021-01-13T21:54:36Z,Institute of Marine Research (Norway),2021-01-22T23:16:06Z,R,SIGMA_T PRES CNDC PSAL TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/AR_PR_CT_ITP-113_20210113.nc,74.318,74.321,-163.041,-162.656,2021-01-13T05:33:45Z,2021-01-13T23:33:44Z,Woods Hole Oceanographic Institution (United States),2021-02-12T03:25:06Z,R,PRES PSAL TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/AR_PR_CT_ITP-120_20210113.nc,76.446,76.519,-143.967,-143.790,2021-01-13T00:02:01Z,2021-01-13T18:02:01Z,Woods Hole Oceanographic Institution (United States),2021-02-12T03:24:59Z,R,PRES PSAL TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/AR_PR_CT_ITP-121_20210113.nc,74.110,74.131,-140.817,-140.700,2021-01-13T00:02:01Z,2021-01-13T06:02:01Z,Woods Hole Oceanographic Institution (United States),2021-02-12T03:25:03Z,R,PRES PSAL TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/AR_PR_GL_6801612_20210113.nc,77.265,77.265,1.330,1.330,2021-01-13T01:01:44Z,2021-01-13T01:01:44Z,University of Bergen (Norway),2021-01-14T11:15:10Z,R,PRES DOXY CNDC PSAL TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/AR_PR_GL_68907_20210113.nc,76.494,76.547,33.554,33.918,2021-01-13T00:22:32Z,2021-01-13T23:56:33Z,University of Bergen (Norway),2021-01-16T11:15:24Z,R,PRES DOXY CNDC PSAL TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/AR_TS_MO_Blakksnes_20210113.nc,65.698,65.698,-24.778,-24.778,2021-01-13T00:00:00Z,2021-01-13T23:00:00Z,Icelandic Road and Coastal Administration (Iceland),2021-01-14T03:15:14Z,M,VTZA VAVH DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/AR_TS_MO_Drangsnes_20210113.nc,65.770,65.770,-21.138,-21.138,2021-01-13T00:00:00Z,2021-01-13T23:00:00Z,Icelandic Road and Coastal Administration (Iceland),2021-01-14T03:15:13Z,M,VTZA VAVH DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/AR_TS_MO_Flateyjardufl_20210113.nc,65.253,65.253,-23.110,-23.110,2021-01-13T00:09:59Z,2021-01-13T23:59:59Z,Icelandic Road and Coastal Administration (Iceland),2021-01-14T03:15:14Z,M,VTZA VAVH DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/AR_TS_MO_Gardskagadufl_20210113.nc,64.052,64.052,-22.877,-22.877,2021-01-13T00:00:00Z,2021-01-13T23:32:00Z,Icelandic Road and Coastal Administration (Iceland),2021-01-14T03:15:16Z,M,VTZA VAVH DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/AR_TS_MO_Grimsey_20210113.nc,66.539,66.539,-18.017,-18.017,2021-01-13T00:00:00Z,2021-01-13T23:50:00Z,Marine and Freshwater Research Institute (Iceland),2021-02-12T03:25:17Z,M,DEPH TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/AR_TS_MO_Grimseyjarsund_20210113.nc,66.292,66.292,-18.192,-18.192,2021-01-13T00:00:00Z,2021-01-13T23:32:00Z,Icelandic Road and Coastal Administration (Iceland),2021-01-14T03:15:15Z,M,VTZA VAVH DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/AR_TS_MO_Grindavikurdufl_20210113.nc,63.813,63.813,-22.460,-22.460,2021-01-13T00:01:59Z,2021-01-13T23:32:00Z,Icelandic Road and Coastal Administration (Iceland),2021-01-14T03:15:16Z,M,VTZA VAVH DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/AR_TS_MO_Hornafjardardufl_20210113.nc,64.197,64.197,-15.188,-15.188,2021-01-13T00:03:19Z,2021-01-13T23:53:19Z,Icelandic Road and Coastal Administration (Iceland),2021-01-14T03:15:13Z,M,VTZA VAVH DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/AR_TS_MO_Kogurdufl_20210113.nc,65.648,65.648,-13.627,-13.627,2021-01-13T00:00:00Z,2021-01-13T23:00:00Z,Icelandic Road and Coastal Administration (Iceland),2021-01-14T03:15:14Z,M,VTZA VAVH DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/AR_TS_MO_Reykjavik_20210113.nc,64.152,64.152,-21.932,-21.932,2021-01-13T00:00:00Z,2021-01-13T23:50:00Z,Marine and Freshwater Research Institute (Iceland),2021-02-12T03:25:18Z,M,DEPH TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/AR_TS_MO_Straumnesdufl_20210113.nc,66.438,66.438,-23.367,-23.367,2021-01-13T00:01:59Z,2021-01-13T23:32:00Z,Icelandic Road and Coastal Administration (Iceland),2021-01-14T03:15:15Z,M,VTZA VAVH DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/AR_TS_MO_Surtseyjardufl_20210113.nc,63.286,63.286,-20.345,-20.345,2021-01-13T00:00:00Z,2021-01-13T23:00:00Z,Icelandic Road and Coastal Administration (Iceland),2021-01-14T03:15:15Z,M,VTZA VAVH DEPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/GL_PR_PF_3901873_20210113.nc,69.10792,69.10792,6.21510,6.21510,2021-01-13T11:58:00Z,2021-01-13T11:58:00Z,Euro-Argo,2021-01-13T15:01:25Z,R,PRES VERTICAL_SAMPLING_SCHEME PSAL DC_REFERENCE TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/GL_PR_PF_4902213_20210113.nc,74.31800,74.32100,-163.04100,-162.65600,2021-01-13T05:33:00Z,2021-01-13T23:33:00Z,Unknown institution,2021-01-18T09:02:21Z,R,PSAL DC_REFERENCE DEPH TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/GL_PR_PF_4902220_20210113.nc,76.44600,76.51900,-143.96700,-143.79000,2021-01-13T00:02:00Z,2021-01-13T18:02:00Z,Unknown institution,2021-01-16T10:04:26Z,R,PSAL DC_REFERENCE DEPH TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/GL_PR_PF_4902221_20210113.nc,74.11000,74.13100,-140.81700,-140.70000,2021-01-13T00:02:00Z,2021-01-13T06:02:00Z,Unknown institution,2021-01-18T09:02:28Z,R,PSAL DC_REFERENCE DEPH TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/GL_PR_PF_6902749_20210113.nc,64.59600,64.59600,-34.89900,-34.89900,2021-01-13T00:47:00Z,2021-01-13T00:47:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2021-01-14T10:06:43Z,M,PRES VERTICAL_SAMPLING_SCHEME PSAL TEMP_ADJUSTED DC_REFERENCE PSAL_ADJUSTED PRES_ADJUSTED TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/GL_PR_PF_6902784_20210113.nc,67.42900,67.42900,0.48000,0.48000,2021-01-13T06:59:00Z,2021-01-13T06:59:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2021-01-14T17:01:37Z,R,PRES VERTICAL_SAMPLING_SCHEME PSAL DC_REFERENCE TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/GL_PR_PF_6902791_20210113.nc,63.08300,63.08300,-37.72500,-37.72500,2021-01-13T00:02:00Z,2021-01-13T00:02:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2021-01-14T08:01:41Z,R,PRES VERTICAL_SAMPLING_SCHEME PSAL DC_REFERENCE TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/GL_PR_PF_6903559_20210113.nc,70.93743,70.93743,14.63121,14.63121,2021-01-13T13:21:30Z,2021-01-13T13:21:30Z,Institute of Marine Research (IMR),2021-01-13T17:01:29Z,R,PRES VERTICAL_SAMPLING_SCHEME PSAL DC_REFERENCE TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/GL_PR_PF_6903568_20210113.nc,69.82809,69.82809,2.61372,2.61372,2021-01-13T09:45:16Z,2021-01-13T09:45:16Z,Institute of Marine Research (IMR),2021-01-14T13:03:49Z,M,VERTICAL_SAMPLING_SCHEME CPHL_ADJUSTED DOX2_ADJUSTED DOX2 CPHL DC_REFERENCE CDOM TEMP PRES PSAL DOX2_ADJUSTED_ERROR BBP700
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/GL_PR_PF_6903570_20210113.nc,70.86890,70.86890,1.95789,1.95789,2021-01-13T09:23:40Z,2021-01-13T09:23:40Z,Institute of Marine Research (IMR),2021-01-18T12:03:48Z,M,VERTICAL_SAMPLING_SCHEME CPHL_ADJUSTED DOX2_ADJUSTED DOX2 CPHL DC_REFERENCE CDOM TEMP PRES PSAL DOX2_ADJUSTED_ERROR BBP700
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/GL_PR_PF_6903574_20210113.nc,66.20708,66.21043,-2.37964,-2.37947,2021-01-13T11:22:00Z,2021-01-13T13:24:00Z,Institute of Marine Research (IMR),2021-01-19T11:11:29Z,M,VERTICAL_SAMPLING_SCHEME CPHL_ADJUSTED DOX2_ADJUSTED DOWN_IRRADIANCE412 DOX2 CPHL DOWN_IRRADIANCE490 DC_REFERENCE CDOM NTAW_ADJUSTED TEMP PRES LGHT PSAL NTAW NTAW_ADJUSTED_ERROR DOX2_ADJUSTED_ERROR BBP700 DOWN_IRRADIANCE380 PHPH
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/GL_PR_PF_6903698_20210113.nc,62.34199,62.34199,18.78063,18.78063,2021-01-13T00:25:00Z,2021-01-13T00:25:00Z,Finnish Meteorological Institute (FMI),2021-01-13T06:02:20Z,R,PRES VERTICAL_SAMPLING_SCHEME PSAL DC_REFERENCE TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/GL_PR_SM_9901389_20210113.nc,69.12000,69.14000,-49.83000,-49.80000,2021-01-13T03:35:00Z,2021-01-13T23:06:00Z,Unknown institution,2021-01-18T09:03:55Z,R,PSAL DC_REFERENCE DEPH TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/GL_PR_SM_9901391_20210113.nc,65.63000,65.70000,-39.47000,-39.30000,2021-01-13T00:26:00Z,2021-01-13T19:34:00Z,Unknown institution,2021-01-18T04:02:59Z,R,PSAL DC_REFERENCE DEPH TEMP
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/GL_RV_HF_HFR-Finnmark-BERL_20210113.nc,69,73.5,18,35.5,2021-01-12T23:30:00Z,2021-01-13T23:30:00Z,Norwegian Meteorological Institute,2021-01-15T13:26:35Z,R,ETMP SCDR MINV RNGE XDST QCflag SDN_REFERENCES SLNT crs SDN_LOCAL_CDI_ID SPRC SDN_EDMO_CODE SLTT SLTR SDN_STATION BEAR YDST ERTC ESPC NSCT RDVA SLNR DRVA SDN_XLINK SDN_CRUISE SCDT NATX ERSC DEPH EWCT MAXV NARX
COP-AR-01,ftp://nrt.cmems-du.eu/Core/INSITU_ARC_NRT_OBSERVATIONS_013_031/arc_multiparameter_nrt/latest/20210113/GL_RV_HF_HFR-Finnmark-FRUH_20210113.nc,69,73.5,18,35.5,2021-01-12T23:30:00Z,2021-01-13T23:30:00Z,Norwegian Meteorological Institute,2021-01-15T13:27:25Z,R,ETMP SCDR MINV RNGE XDST QCflag SDN_REFERENCES SLNT crs SDN_LOCAL_CDI_ID SPRC SDN_EDMO_CODE SLTT SLTR SDN_STATION BEAR YDST ERTC ESPC NSCT RDVA SLNR DRVA SDN_XLINK SDN_CRUISE SCDT NATX ERSC DEPH EWCT MAXV NARX
