# Title : in-situ platforms catalog
# Description : catalog of available in-situ platforms.
# Project : Copernicus
# Format version : 1.0
# Date of update : 2021-02-12T08:32:49Z
# platform_code,date_creation,date_update,wmo_platform_code,data_source,institution,institution_edmo_code,parameters,last_latitude_observation,last_longitude_observation,last_date_observation
6902749,2019-05-25T01:35:42Z,2021-02-03T09:02:48Z,6902749,GL_PR_PF_6902749_20210113 GL_PR_PF_6902749_20210123 GL_PR_PF_6902749_20210202 GL_PR_PF_6902749_202101 GL_PR_PF_6902749_202001 GL_PR_PF_6902749_202002 GL_PR_PF_6902749_202003 GL_PR_PF_6902749_202004 GL_PR_PF_6902749_202005 GL_PR_PF_6902749_202006 GL_PR_PF_6902749_202007 GL_PR_PF_6902749_202008 GL_PR_PF_6902749_202009 GL_PR_PF_6902749_202010 GL_PR_PF_6902749_202011 GL_PR_PF_6902749_202012 GL_PR_PF_6902749_201901 GL_PR_PF_6902749_201902 GL_PR_PF_6902749_201903 GL_PR_PF_6902749_201904 GL_PR_PF_6902749_201905 GL_PR_PF_6902749_201907 GL_PR_PF_6902749_201908 GL_PR_PF_6902749_201909 GL_PR_PF_6902749_201910 GL_PR_PF_6902749_201911 GL_PR_PF_6902749_201912 GL_PR_PF_6902749_201803 GL_PR_PF_6902749_201804 GL_PR_PF_6902749_201807 GL_PR_PF_6902749_201812 GL_PR_PF_6902749,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,1054,PRES_ADJUSTED PSAL PSAL_ADJUSTED TEMP_ADJUSTED PRES DC_REFERENCE VERTICAL_SAMPLING_SCHEME TEMP,64.59600,-34.89900,2021-01-13T00:47:00Z
58JH,2020-06-02T08:42:38Z,2021-02-11T23:15:15Z,,AR_PR_CT_58JH_20210113 AR_PR_CT_58JH_20210114 AR_PR_CT_58JH_20210118 AR_PR_CT_58JH_20210119 AR_PR_CT_58JH_20210120 AR_PR_CT_58JH_20210122 AR_PR_CT_58JH_20210124 AR_PR_CT_58JH_20210128 AR_PR_CT_58JH_20210131 AR_PR_CT_58JH_20210201 AR_PR_CT_58JH_20210205 AR_PR_CT_58JH_20210206 AR_PR_CT_58JH_20210207 AR_PR_CT_58JH_20210208 AR_PR_CT_58JH_20210209 AR_PR_CT_58JH_20210210 AR_PR_CT_58JH_20210211 AR_PR_CT_58JH_202101 AR_PR_CT_58JH_202001 AR_PR_CT_58JH_202002 AR_PR_CT_58JH_202003 AR_PR_CT_58JH_202004 AR_PR_CT_58JH_202005 AR_PR_CT_58JH_202006 AR_PR_CT_58JH_202007 AR_PR_CT_58JH_202008 AR_PR_CT_58JH_202009 AR_PR_CT_58JH_202010 AR_PR_CT_58JH_202011 AR_PR_CT_58JH_202012 AR_PR_CT_58JH_201901 AR_PR_CT_58JH_201902 AR_PR_CT_58JH_201903 AR_PR_CT_58JH_201904 AR_PR_CT_58JH_201905 AR_PR_CT_58JH_201906 AR_PR_CT_58JH_201907 AR_PR_CT_58JH_201908 AR_PR_CT_58JH_201909 AR_PR_CT_58JH_201910 AR_PR_CT_58JH_201911 AR_PR_CT_58JH_201801 AR_PR_CT_58JH_201802 AR_PR_CT_58JH_201803 AR_PR_CT_58JH_201804 AR_PR_CT_58JH_201805 AR_PR_CT_58JH_201806 AR_PR_CT_58JH_201807 AR_PR_CT_58JH_201808 AR_PR_CT_58JH_201809 AR_PR_CT_58JH_201810 AR_PR_CT_58JH_201811 AR_PR_CT_58JH_201812 AR_PR_CT_58JH_201704 AR_PR_CT_58JH_201705 AR_PR_CT_58JH_201706 AR_PR_CT_58JH_201707 AR_PR_CT_58JH_201708 AR_PR_CT_58JH_201709 AR_PR_CT_58JH_201710 AR_PR_CT_58JH_201711 AR_PR_CT_58JH_201712 AR_PR_CT_58JH_201601 AR_PR_CT_58JH_201602 AR_PR_CT_58JH_201603 AR_PR_CT_58JH_201604 AR_PR_CT_58JH_201605 AR_PR_CT_58JH_201606 AR_PR_CT_58JH_201607 AR_PR_CT_58JH_201608 AR_PR_CT_58JH_201609 AR_PR_CT_58JH_201610 AR_PR_CT_58JH,Institute of Marine Research (Norway),1351,PSAL PRES SIGMA_T TEMP CNDC,57.001,4.696,2021-01-13T02:13:09Z
6902784,2019-05-25T02:11:07Z,2021-02-03T17:01:26Z,6902784,GL_PR_PF_6902784_20210113 GL_PR_PF_6902784_20210123 GL_PR_PF_6902784_20210202 GL_PR_PF_6902784_202101 GL_PR_PF_6902784_202001 GL_PR_PF_6902784_202002 GL_PR_PF_6902784_202003 GL_PR_PF_6902784_202004 GL_PR_PF_6902784_202005 GL_PR_PF_6902784_202006 GL_PR_PF_6902784_202007 GL_PR_PF_6902784_202008 GL_PR_PF_6902784_202009 GL_PR_PF_6902784_202010 GL_PR_PF_6902784_202011 GL_PR_PF_6902784_202012 GL_PR_PF_6902784_201901 GL_PR_PF_6902784_201902 GL_PR_PF_6902784_201903 GL_PR_PF_6902784_201904 GL_PR_PF_6902784_201905 GL_PR_PF_6902784_201906 GL_PR_PF_6902784_201907 GL_PR_PF_6902784_201908 GL_PR_PF_6902784_201909 GL_PR_PF_6902784_201910 GL_PR_PF_6902784_201911 GL_PR_PF_6902784_201912 GL_PR_PF_6902784_201801 GL_PR_PF_6902784_201802 GL_PR_PF_6902784_201803 GL_PR_PF_6902784_201804 GL_PR_PF_6902784_201805 GL_PR_PF_6902784_201806 GL_PR_PF_6902784_201807 GL_PR_PF_6902784_201808 GL_PR_PF_6902784_201809 GL_PR_PF_6902784_201810 GL_PR_PF_6902784_201811 GL_PR_PF_6902784_201812 GL_PR_PF_6902784_201710 GL_PR_PF_6902784_201711 GL_PR_PF_6902784_201712 GL_PR_PF_6902784,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,1054,PSAL PRES DC_REFERENCE VERTICAL_SAMPLING_SCHEME TEMP,67.42900,0.48000,2021-01-13T06:59:00Z
58UO,2019-07-23T12:01:13Z,2021-02-10T23:15:14Z,,AR_PR_CT_58UO_20210113 AR_PR_CT_58UO_20210114 AR_PR_CT_58UO_20210115 AR_PR_CT_58UO_20210116 AR_PR_CT_58UO_20210117 AR_PR_CT_58UO_20210118 AR_PR_CT_58UO_20210119 AR_PR_CT_58UO_20210120 AR_PR_CT_58UO_20210123 AR_PR_CT_58UO_20210124 AR_PR_CT_58UO_20210125 AR_PR_CT_58UO_20210126 AR_PR_CT_58UO_20210127 AR_PR_CT_58UO_20210128 AR_PR_CT_58UO_20210129 AR_PR_CT_58UO_20210130 AR_PR_CT_58UO_20210205 AR_PR_CT_58UO_20210206 AR_PR_CT_58UO_20210207 AR_PR_CT_58UO_20210208 AR_PR_CT_58UO_20210209 AR_PR_CT_58UO_202101 AR_PR_CT_58UO_202001 AR_PR_CT_58UO_202002 AR_PR_CT_58UO_202003 AR_PR_CT_58UO_202004 AR_PR_CT_58UO_202005 AR_PR_CT_58UO_202006 AR_PR_CT_58UO_202007 AR_PR_CT_58UO_202008 AR_PR_CT_58UO_202009 AR_PR_CT_58UO_202010 AR_PR_CT_58UO_202011 AR_PR_CT_58UO_201901 AR_PR_CT_58UO_201902 AR_PR_CT_58UO_201903 AR_PR_CT_58UO_201904 AR_PR_CT_58UO_201905 AR_PR_CT_58UO_201906 AR_PR_CT_58UO_201907 AR_PR_CT_58UO_201908 AR_PR_CT_58UO_201909 AR_PR_CT_58UO_201910 AR_PR_CT_58UO_201911 AR_PR_CT_58UO_201801 AR_PR_CT_58UO_201802 AR_PR_CT_58UO_201803 AR_PR_CT_58UO_201804 AR_PR_CT_58UO_201805 AR_PR_CT_58UO_201806 AR_PR_CT_58UO_201807 AR_PR_CT_58UO_201808 AR_PR_CT_58UO_201809 AR_PR_CT_58UO_201810 AR_PR_CT_58UO_201811 AR_PR_CT_58UO_201812 AR_PR_CT_58UO_201701 AR_PR_CT_58UO_201702 GL_PR_CT_58UO_201702 AR_PR_CT_58UO_201703 GL_PR_CT_58UO_201703 AR_PR_CT_58UO_201704 GL_PR_CT_58UO_201704 AR_PR_CT_58UO_201705 GL_PR_CT_58UO_201705 AR_PR_CT_58UO_201706 GL_PR_CT_58UO_201706 AR_PR_CT_58UO_201707 GL_PR_CT_58UO_201707 AR_PR_CT_58UO_201708 GL_PR_CT_58UO_201708 AR_PR_CT_58UO_201709 AR_PR_CT_58UO_201710 AR_PR_CT_58UO_201711 AR_PR_CT_58UO_201712 AR_PR_CT_58UO_201604 AR_PR_CT_58UO_201605 AR_PR_CT_58UO_201611 AR_PR_CT_58UO_201612 GL_PR_CT_58UO_201612 AR_PR_CT_58UO GL_PR_CT_58UO,Institute of Marine Research (Norway),1351,PSAL PRES SIGMA_T TEMP CNDC,59.240,4.099,2021-01-13T21:54:36Z
6902791,2019-05-25T02:14:36Z,2021-02-03T09:02:55Z,6902791,GL_PR_PF_6902791_20210113 GL_PR_PF_6902791_20210123 GL_PR_PF_6902791_20210202 GL_PR_PF_6902791_202101 GL_PR_PF_6902791_202001 GL_PR_PF_6902791_202002 GL_PR_PF_6902791_202003 GL_PR_PF_6902791_202004 GL_PR_PF_6902791_202005 GL_PR_PF_6902791_202006 GL_PR_PF_6902791_202007 GL_PR_PF_6902791_202008 GL_PR_PF_6902791_202009 GL_PR_PF_6902791_202010 GL_PR_PF_6902791_202011 GL_PR_PF_6902791_202012 GL_PR_PF_6902791_201903 GL_PR_PF_6902791_201904 GL_PR_PF_6902791_201905 GL_PR_PF_6902791_201906 GL_PR_PF_6902791_201907 GL_PR_PF_6902791_201908 GL_PR_PF_6902791_201909 GL_PR_PF_6902791_201910 GL_PR_PF_6902791_201911 GL_PR_PF_6902791_201912 GL_PR_PF_6902791,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,1054,PSAL PRES DC_REFERENCE VERTICAL_SAMPLING_SCHEME TEMP,63.08300,-37.72500,2021-01-13T00:02:00Z
ITP-113,2021-01-15T07:11:53Z,2021-02-12T03:25:06Z,,AR_PR_CT_ITP-113_20210113 AR_PR_CT_ITP-113_20210114 AR_PR_CT_ITP-113_20210115 AR_PR_CT_ITP-113_20210116 AR_PR_CT_ITP-113_20210117 AR_PR_CT_ITP-113_20210118 AR_PR_CT_ITP-113_20210119 AR_PR_CT_ITP-113_20210120 AR_PR_CT_ITP-113_20210121 AR_PR_CT_ITP-113_20210122 AR_PR_CT_ITP-113_20210123 AR_PR_CT_ITP-113_20210124 AR_PR_CT_ITP-113_20210125 AR_PR_CT_ITP-113_20210126 AR_PR_CT_ITP-113_20210127 AR_PR_CT_ITP-113_20210128 AR_PR_CT_ITP-113_20210129 AR_PR_CT_ITP-113_20210130 AR_PR_CT_ITP-113_20210131 AR_PR_CT_ITP-113_20210201 AR_PR_CT_ITP-113_20210202 AR_PR_CT_ITP-113_20210203 AR_PR_CT_ITP-113_20210204 AR_PR_CT_ITP-113_20210205 AR_PR_CT_ITP-113_20210206 AR_PR_CT_ITP-113_20210207 AR_PR_CT_ITP-113_20210208 AR_PR_CT_ITP-113_20210209 AR_PR_CT_ITP-113_20210210 AR_PR_CT_ITP-113_20210211 AR_PR_CT_ITP-113_202101 AR_PR_CT_ITP-113_202001 AR_PR_CT_ITP-113_202002 AR_PR_CT_ITP-113_202003 AR_PR_CT_ITP-113_202004 AR_PR_CT_ITP-113_202005 AR_PR_CT_ITP-113_202006 AR_PR_CT_ITP-113_202007 AR_PR_CT_ITP-113_202008 AR_PR_CT_ITP-113_202009 AR_PR_CT_ITP-113_202010 AR_PR_CT_ITP-113_202011 AR_PR_CT_ITP-113_202012 AR_PR_CT_ITP-113_201909 AR_PR_CT_ITP-113_201910 AR_PR_CT_ITP-113_201911 AR_PR_CT_ITP-113_201912 AR_PR_CT_ITP-113,Woods Hole Oceanographic Institution (United States),3844,PSAL PRES TEMP,74.318,-163.041,2021-01-13T23:33:44Z
6903559,2020-08-30T14:09:50Z,2021-02-02T17:01:30Z,6903559,GL_PR_PF_6903559_20210113 GL_PR_PF_6903559_20210123 GL_PR_PF_6903559_20210202 GL_PR_PF_6903559_202101 GL_PR_PF_6903559_202001 GL_PR_PF_6903559_202002 GL_PR_PF_6903559_202003 GL_PR_PF_6903559_202004 GL_PR_PF_6903559_202005 GL_PR_PF_6903559_202006 GL_PR_PF_6903559_202007 GL_PR_PF_6903559_202008 GL_PR_PF_6903559_202009 GL_PR_PF_6903559_202010 GL_PR_PF_6903559_202011 GL_PR_PF_6903559_202012 GL_PR_PF_6903559_201906 GL_PR_PF_6903559_201907 GL_PR_PF_6903559_201908 GL_PR_PF_6903559_201909 GL_PR_PF_6903559_201910 GL_PR_PF_6903559_201911 GL_PR_PF_6903559_201912 GL_PR_PF_6903559,Institute of Marine Research (IMR),1351,PSAL PRES DC_REFERENCE VERTICAL_SAMPLING_SCHEME TEMP,70.93743,14.63121,2021-01-13T13:21:30Z
ITP-120,2021-02-03T07:11:51Z,2021-02-12T03:24:59Z,,AR_PR_CT_ITP-120_20210113 AR_PR_CT_ITP-120_20210114 AR_PR_CT_ITP-120_20210115 AR_PR_CT_ITP-120_20210116 AR_PR_CT_ITP-120_20210117 AR_PR_CT_ITP-120_20210118 AR_PR_CT_ITP-120_20210119 AR_PR_CT_ITP-120_20210120 AR_PR_CT_ITP-120_20210121 AR_PR_CT_ITP-120_20210122 AR_PR_CT_ITP-120_20210123 AR_PR_CT_ITP-120_20210124 AR_PR_CT_ITP-120_20210125 AR_PR_CT_ITP-120_20210126 AR_PR_CT_ITP-120_20210127 AR_PR_CT_ITP-120_20210128 AR_PR_CT_ITP-120_20210129 AR_PR_CT_ITP-120_20210130 AR_PR_CT_ITP-120_20210131 AR_PR_CT_ITP-120_20210201 AR_PR_CT_ITP-120_20210202 AR_PR_CT_ITP-120_20210203 AR_PR_CT_ITP-120_20210204 AR_PR_CT_ITP-120_20210205 AR_PR_CT_ITP-120_20210206 AR_PR_CT_ITP-120_20210207 AR_PR_CT_ITP-120_20210208 AR_PR_CT_ITP-120_20210209 AR_PR_CT_ITP-120_20210210 AR_PR_CT_ITP-120_20210211 AR_PR_CT_ITP-120_202101 AR_PR_CT_ITP-120_202009 AR_PR_CT_ITP-120_202010 AR_PR_CT_ITP-120_202011 AR_PR_CT_ITP-120_202012,Woods Hole Oceanographic Institution (United States),3844,PSAL PRES TEMP,76.446,-143.967,2021-01-13T18:02:01Z
6903568,2021-01-04T04:48:58Z,2021-02-07T17:01:54Z,6903568,GL_PR_PF_6903568_20210113 GL_PR_PF_6903568_20210118 GL_PR_PF_6903568_20210123 GL_PR_PF_6903568_20210128 GL_PR_PF_6903568_20210202 GL_PR_PF_6903568_20210207 GL_PR_PF_6903568_202101 GL_PR_PF_6903568_202005 GL_PR_PF_6903568_202006 GL_PR_PF_6903568_202007 GL_PR_PF_6903568_202008 GL_PR_PF_6903568_202009 GL_PR_PF_6903568_202010 GL_PR_PF_6903568_202011 GL_PR_PF_6903568_202012 GL_PR_PF_6903568,Institute of Marine Research (IMR),1351,DC_REFERENCE CPHL TEMP PSAL DOX2 DOX2_ADJUSTED_ERROR BBP700 CPHL_ADJUSTED DOX2_ADJUSTED CDOM PRES VERTICAL_SAMPLING_SCHEME,69.82809,2.61372,2021-01-13T09:45:16Z
ITP-121,2021-02-03T07:11:55Z,2021-02-12T03:25:03Z,,AR_PR_CT_ITP-121_20210113 AR_PR_CT_ITP-121_20210114 AR_PR_CT_ITP-121_20210115 AR_PR_CT_ITP-121_20210116 AR_PR_CT_ITP-121_20210117 AR_PR_CT_ITP-121_20210118 AR_PR_CT_ITP-121_20210119 AR_PR_CT_ITP-121_20210120 AR_PR_CT_ITP-121_20210121 AR_PR_CT_ITP-121_20210122 AR_PR_CT_ITP-121_20210123 AR_PR_CT_ITP-121_20210124 AR_PR_CT_ITP-121_20210125 AR_PR_CT_ITP-121_20210126 AR_PR_CT_ITP-121_20210127 AR_PR_CT_ITP-121_20210128 AR_PR_CT_ITP-121_20210129 AR_PR_CT_ITP-121_20210130 AR_PR_CT_ITP-121_20210131 AR_PR_CT_ITP-121_20210201 AR_PR_CT_ITP-121_20210202 AR_PR_CT_ITP-121_20210203 AR_PR_CT_ITP-121_20210204 AR_PR_CT_ITP-121_20210205 AR_PR_CT_ITP-121_20210206 AR_PR_CT_ITP-121_20210207 AR_PR_CT_ITP-121_20210208 AR_PR_CT_ITP-121_20210209 AR_PR_CT_ITP-121_20210210 AR_PR_CT_ITP-121_20210211 AR_PR_CT_ITP-121_202101 AR_PR_CT_ITP-121_202009 AR_PR_CT_ITP-121_202010 AR_PR_CT_ITP-121_202011 AR_PR_CT_ITP-121_202012,Woods Hole Oceanographic Institution (United States),3844,PSAL PRES TEMP,74.110,-140.817,2021-01-13T06:02:01Z
